answer_uid,volume,id_str,page_no,question_id_hint,reason,question_uid_candidates
v1:8.6.2,1,8.6.2,171,359879,question_id_not_in_questions_dataset,
v1:8.6.3,1,8.6.3,171,411737,question_id_not_in_questions_dataset,
v1:8.6.4,1,8.6.4,171,110827,question_id_not_in_questions_dataset,
v1:8.6.5,1,8.6.5,171,313510,question_id_not_in_questions_dataset,
v1:8.6.6,1,8.6.6,171,313448,question_id_not_in_questions_dataset,
v1:8.6.7,1,8.6.7,171,313601,question_id_not_in_questions_dataset,
v1:8.7.1,1,8.7.1,171,41144,question_id_not_in_questions_dataset,
v1:8.9.1,1,8.9.1,171,426524,question_id_not_in_questions_dataset,
v1:8.9.2,1,8.9.2,171,411714,question_id_not_in_questions_dataset,
v1:8.9.8,1,8.9.8,171,359840,question_id_not_in_questions_dataset,
v1:8.9.9,1,8.9.9,171,411726,question_id_not_in_questions_dataset,
v1:8.9.10,1,8.9.10,171,411915,question_id_not_in_questions_dataset,
v1:8.9.11,1,8.9.11,171,411847,question_id_not_in_questions_dataset,
v1:8.9.12,1,8.9.12,171,426528,question_id_not_in_questions_dataset,
v1:8.9.13,1,8.9.13,171,411837,question_id_not_in_questions_dataset,
v1:8.9.14,1,8.9.14,171,411833,question_id_not_in_questions_dataset,
v1:8.9.16,1,8.9.16,171,411867,question_id_not_in_questions_dataset,
v1:8.9.17,1,8.9.17,171,359482,question_id_not_in_questions_dataset,
v1:8.9.18,1,8.9.18,171,359505,question_id_not_in_questions_dataset,
v1:8.9.19,1,8.9.19,171,411777,question_id_not_in_questions_dataset,
v1:8.9.20,1,8.9.20,171,411787,question_id_not_in_questions_dataset,
v1:8.9.21,1,8.9.21,171,40209,question_id_not_in_questions_dataset,
v1:8.9.22,1,8.9.22,171,31543,question_id_not_in_questions_dataset,
v1:8.9.23,1,8.9.23,171,40229,question_id_not_in_questions_dataset,
v1:8.9.24,1,8.9.24,171,40240,question_id_not_in_questions_dataset,
v1:8.9.27,1,8.9.27,171,39492,question_id_not_in_questions_dataset,
v1:8.9.28,1,8.9.28,171,108077,question_id_not_in_questions_dataset,
v1:8.9.29,1,8.9.29,171,110849,question_id_not_in_questions_dataset,
v1:8.9.30,1,8.9.30,171,313485,question_id_not_in_questions_dataset,
v1:8.9.31,1,8.9.31,171,313414,question_id_not_in_questions_dataset,
v1:8.9.32,1,8.9.32,171,313507,question_id_not_in_questions_dataset,
v1:8.9.33,1,8.9.33,171,313666,question_id_not_in_questions_dataset,
v1:8.9.34,1,8.9.34,171,313677,question_id_not_in_questions_dataset,
v1:8.9.36,1,8.9.36,171,205190,question_id_not_in_questions_dataset,
v1:8.9.37,1,8.9.37,171,313380,question_id_not_in_questions_dataset,
v1:8.9.38,1,8.9.38,171,313749,question_id_not_in_questions_dataset,
v1:8.9.39,1,8.9.39,171,313547,question_id_not_in_questions_dataset,
v1:8.10.2,1,8.10.2,171,313226,question_id_not_in_questions_dataset,
v1:8.10.3,1,8.10.3,171,313382,question_id_not_in_questions_dataset,
v1:8.11.2,1,8.11.2,171,426505,question_id_not_in_questions_dataset,
v1:8.11.3,1,8.11.3,171,40306,question_id_not_in_questions_dataset,
v1:8.11.4,1,8.11.4,171,41495,question_id_not_in_questions_dataset,
v1:8.11.5,1,8.11.5,171,41513,question_id_not_in_questions_dataset,
v1:8.11.6,1,8.11.6,171,110830,question_id_not_in_questions_dataset,
v1:8.12.1,1,8.12.1,171,411712,question_id_not_in_questions_dataset,
v1:8.12.4,1,8.12.4,171,411692,question_id_not_in_questions_dataset,
v1:8.12.5,1,8.12.5,171,359722,question_id_not_in_questions_dataset,
v1:8.12.6,1,8.12.6,171,411671,question_id_not_in_questions_dataset,
v1:8.13.1,1,8.13.1,171,411716,question_id_not_in_questions_dataset,
v1:8.13.3,1,8.13.3,171,359814,question_id_not_in_questions_dataset,
v1:8.13.4,1,8.13.4,171,411913,question_id_not_in_questions_dataset,
v1:8.13.5,1,8.13.5,171,313417,question_id_not_in_questions_dataset,
v1:8.13.6,1,8.13.6,171,313521,question_id_not_in_questions_dataset,
v1:8.14.2,1,8.14.2,171,359854,question_id_not_in_questions_dataset,
v1:8.14.3,1,8.14.3,171,359737,question_id_not_in_questions_dataset,
v1:8.14.4,1,8.14.4,171,313529,question_id_not_in_questions_dataset,
v1:8.15.3,1,8.15.3,171,359861,question_id_not_in_questions_dataset,
v1:8.15.4,1,8.15.4,171,426498,question_id_not_in_questions_dataset,
v1:8.15.5,1,8.15.5,171,359719,question_id_not_in_questions_dataset,
v1:8.15.6,1,8.15.6,171,359715,question_id_not_in_questions_dataset,
v1:8.15.7,1,8.15.7,171,359544,question_id_not_in_questions_dataset,
v1:8.15.8,1,8.15.8,171,411816,question_id_not_in_questions_dataset,
v1:8.15.9,1,8.15.9,171,312016,question_id_not_in_questions_dataset,
v1:8.15.10,1,8.15.10,171,41145,question_id_not_in_questions_dataset,
v1:8.15.11,1,8.15.11,171,39517,question_id_not_in_questions_dataset,
v1:8.15.12,1,8.15.12,171,313639,question_id_not_in_questions_dataset,
v1:8.16.1,1,8.16.1,171,411706,question_id_not_in_questions_dataset,
v1:8.16.2,1,8.16.2,171,411885,question_id_not_in_questions_dataset,
v1:8.16.7,1,8.16.7,171,359895,question_id_not_in_questions_dataset,
v1:8.16.8,1,8.16.8,171,411747,question_id_not_in_questions_dataset,
v1:8.16.9,1,8.16.9,171,411902,question_id_not_in_questions_dataset,
v1:8.16.10,1,8.16.10,171,411899,question_id_not_in_questions_dataset,
v1:8.16.11,1,8.16.11,171,426499,question_id_not_in_questions_dataset,
v1:8.16.12,1,8.16.12,171,422966,question_id_not_in_questions_dataset,
v1:8.16.13,1,8.16.13,171,359795,question_id_not_in_questions_dataset,
v1:8.16.14,1,8.16.14,171,411686,question_id_not_in_questions_dataset,
v1:8.16.15,1,8.16.15,171,411852,question_id_not_in_questions_dataset,
v1:8.16.16,1,8.16.16,171,411676,question_id_not_in_questions_dataset,
v1:8.16.17,1,8.16.17,171,411665,question_id_not_in_questions_dataset,
v1:8.16.18,1,8.16.18,171,359499,question_id_not_in_questions_dataset,
v1:8.16.19,1,8.16.19,171,411767,question_id_not_in_questions_dataset,
v1:8.16.20,1,8.16.20,171,40250,question_id_not_in_questions_dataset,
v1:8.16.21,1,8.16.21,171,41670,question_id_not_in_questions_dataset,
v1:8.16.22,1,8.16.22,171,41491,question_id_not_in_questions_dataset,
v1:8.16.23,1,8.16.23,171,39497,question_id_not_in_questions_dataset,
v1:8.16.24,1,8.16.24,171,39508,question_id_not_in_questions_dataset,
v1:8.16.25,1,8.16.25,171,40169,question_id_not_in_questions_dataset,
v1:8.16.26,1,8.16.26,171,40172,question_id_not_in_questions_dataset,
v1:8.16.27,1,8.16.27,171,110918,question_id_not_in_questions_dataset,
v1:8.16.28,1,8.16.28,171,108275,question_id_not_in_questions_dataset,
v1:8.16.29,1,8.16.29,171,313487,question_id_not_in_questions_dataset,
v1:8.16.30,1,8.16.30,171,313523,question_id_not_in_questions_dataset,
v1:8.16.31,1,8.16.31,171,313681,question_id_not_in_questions_dataset,
v1:8.16.32,1,8.16.32,171,313657,question_id_not_in_questions_dataset,
v1:8.16.33,1,8.16.33,171,313551,question_id_not_in_questions_dataset,
v1:9.1.3,1,9.1.3,279,411866,question_id_not_in_questions_dataset,
v1:9.1.4,1,9.1.4,279,312126,question_id_not_in_questions_dataset,
v1:9.1.5,1,9.1.5,279,40249,question_id_not_in_questions_dataset,
v1:9.1.6,1,9.1.6,279,40275,question_id_not_in_questions_dataset,
v1:9.1.7,1,9.1.7,279,313654,question_id_not_in_questions_dataset,
v1:9.2.1,1,9.2.1,279,313272,question_id_not_in_questions_dataset,
v1:9.3.1,1,9.3.1,279,359883,question_id_not_in_questions_dataset,
v1:9.3.2,1,9.3.2,279,359903,question_id_not_in_questions_dataset,
v1:9.3.3,1,9.3.3,279,359803,question_id_not_in_questions_dataset,
v1:9.3.4,1,9.3.4,279,426533,question_id_not_in_questions_dataset,
v1:9.3.5,1,9.3.5,279,31536,question_id_not_in_questions_dataset,
v1:9.3.6,1,9.3.6,279,313391,question_id_not_in_questions_dataset,
v1:9.4.1,1,9.4.1,279,411884,question_id_not_in_questions_dataset,
v1:9.4.3,1,9.4.3,279,312028,question_id_not_in_questions_dataset,
v1:9.5.2,1,9.5.2,279,411904,question_id_not_in_questions_dataset,
v1:9.6.3,1,9.6.3,279,359818,question_id_not_in_questions_dataset,
v1:9.6.4,1,9.6.4,279,359852,question_id_not_in_questions_dataset,
v1:9.6.5,1,9.6.5,279,426487,question_id_not_in_questions_dataset,
v1:9.6.6,1,9.6.6,279,426491,question_id_not_in_questions_dataset,
v1:9.6.7,1,9.6.7,279,359522,question_id_not_in_questions_dataset,
v1:9.6.8,1,9.6.8,279,312125,question_id_not_in_questions_dataset,
v1:9.6.9,1,9.6.9,279,313562,question_id_not_in_questions_dataset,
v1:9.7.2,1,9.7.2,279,411781,question_id_not_in_questions_dataset,
v1:9.7.3,1,9.7.3,279,411793,question_id_not_in_questions_dataset,
v1:9.8.1,1,9.8.1,279,426516,question_id_not_in_questions_dataset,
v1:9.8.5,1,9.8.5,279,359808,question_id_not_in_questions_dataset,
v1:9.8.6,1,9.8.6,279,411729,question_id_not_in_questions_dataset,
v1:9.8.7,1,9.8.7,279,426483,question_id_not_in_questions_dataset,
v1:9.8.8,1,9.8.8,279,461023,question_id_not_in_questions_dataset,
v1:9.8.9,1,9.8.9,279,359759,question_id_not_in_questions_dataset,
v1:9.8.10,1,9.8.10,279,359789,question_id_not_in_questions_dataset,
v1:9.8.11,1,9.8.11,279,426531,question_id_not_in_questions_dataset,
v1:9.8.12,1,9.8.12,279,359710,question_id_not_in_questions_dataset,
v1:9.8.13,1,9.8.13,279,359739,question_id_not_in_questions_dataset,
v1:9.8.14,1,9.8.14,279,359518,question_id_not_in_questions_dataset,
v1:9.8.15,1,9.8.15,279,426509,question_id_not_in_questions_dataset,
v1:9.8.16,1,9.8.16,279,41498,question_id_not_in_questions_dataset,
v1:9.8.17,1,9.8.17,279,313480,question_id_not_in_questions_dataset,
v1:9.8.18,1,9.8.18,279,313528,question_id_not_in_questions_dataset,
v1:9.9.1,1,9.9.1,279,359834,question_id_not_in_questions_dataset,
v1:9.9.2,1,9.9.2,279,411799,question_id_not_in_questions_dataset,
v1:9.10.3,1,9.10.3,279,411741,question_id_not_in_questions_dataset,
v1:9.10.4,1,9.10.4,279,411688,question_id_not_in_questions_dataset,
v1:9.10.5,1,9.10.5,279,411801,question_id_not_in_questions_dataset,
v1:9.10.6,1,9.10.6,279,40220,question_id_not_in_questions_dataset,
v1:9.10.7,1,9.10.7,279,40303,question_id_not_in_questions_dataset,
v1:9.10.8,1,9.10.8,279,110855,question_id_not_in_questions_dataset,
v1:9.10.9,1,9.10.9,279,110853,question_id_not_in_questions_dataset,
v1:9.10.10,1,9.10.10,279,313661,question_id_not_in_questions_dataset,
v1:9.11.3,1,9.11.3,279,359893,question_id_not_in_questions_dataset,
v1:9.11.4,1,9.11.4,279,411895,question_id_not_in_questions_dataset,
v1:9.11.5,1,9.11.5,279,359764,question_id_not_in_questions_dataset,
v1:9.11.6,1,9.11.6,279,359713,question_id_not_in_questions_dataset,
v1:9.11.7,1,9.11.7,279,411827,question_id_not_in_questions_dataset,
v1:9.12.2,1,9.12.2,279,426485,question_id_not_in_questions_dataset,
v1:9.12.3,1,9.12.3,279,359766,question_id_not_in_questions_dataset,
v1:9.12.4,1,9.12.4,279,359507,question_id_not_in_questions_dataset,
v1:9.12.6,1,9.12.6,279,411819,question_id_not_in_questions_dataset,
v1:9.12.7,1,9.12.7,279,108724,question_id_not_in_questions_dataset,
v1:9.12.8,1,9.12.8,279,313387,question_id_not_in_questions_dataset,
v1:9.12.9,1,9.12.9,279,313527,question_id_not_in_questions_dataset,
v1:9.12.10,1,9.12.10,279,313597,question_id_not_in_questions_dataset,
v1:9.13.4,1,9.13.4,279,31531,question_id_not_in_questions_dataset,
v1:9.13.5,1,9.13.5,279,40226,question_id_not_in_questions_dataset,
v1:9.13.6,1,9.13.6,279,41472,question_id_not_in_questions_dataset,
v1:9.13.7,1,9.13.7,279,40183,question_id_not_in_questions_dataset,
v1:9.13.8,1,9.13.8,279,40170,question_id_not_in_questions_dataset,
v1:9.13.9,1,9.13.9,279,313512,question_id_not_in_questions_dataset,
v1:9.13.10,1,9.13.10,279,313680,question_id_not_in_questions_dataset,
v1:9.13.11,1,9.13.11,280,313393,question_id_not_in_questions_dataset,
v1:9.13.12,1,9.13.12,280,313530,question_id_not_in_questions_dataset,
v1:9.14.1,1,9.14.1,280,422964,question_id_not_in_questions_dataset,
v1:9.14.2,1,9.14.2,280,359806,question_id_not_in_questions_dataset,
v1:9.14.3,1,9.14.3,280,312013,question_id_not_in_questions_dataset,
v1:9.14.4,1,9.14.4,280,41669,question_id_not_in_questions_dataset,
v1:9.15.2,1,9.15.2,280,359497,question_id_not_in_questions_dataset,
v1:9.15.3,1,9.15.3,280,40251,question_id_not_in_questions_dataset,
v1:9.15.5,1,9.15.5,280,41499,question_id_not_in_questions_dataset,
v1:9.15.6,1,9.15.6,280,40174,question_id_not_in_questions_dataset,
v1:9.16.1,1,9.16.1,280,359791,question_id_not_in_questions_dataset,
v1:9.17.3,1,9.17.3,280,313596,question_id_not_in_questions_dataset,
v1:9.17.4,1,9.17.4,280,313513,question_id_not_in_questions_dataset,
v1:9.18.1,1,9.18.1,280,426520,question_id_not_in_questions_dataset,
v1:9.18.5,1,9.18.5,280,411667,question_id_not_in_questions_dataset,
v1:9.18.6,1,9.18.6,280,40304,question_id_not_in_questions_dataset,
v1:9.19.1,1,9.19.1,280,411918,question_id_not_in_questions_dataset,
v1:9.19.2,1,9.19.2,280,359724,question_id_not_in_questions_dataset,
v1:9.19.3,1,9.19.3,280,411809,question_id_not_in_questions_dataset,
v1:9.19.4,1,9.19.4,280,313518,question_id_not_in_questions_dataset,
v1:9.19.5,1,9.19.5,280,205090,question_id_not_in_questions_dataset,
v1:9.19.6,1,9.19.6,280,205186,question_id_not_in_questions_dataset,
v1:9.21.1,1,9.21.1,280,40241,question_id_not_in_questions_dataset,
v1:9.22.1,1,9.22.1,280,411871,question_id_not_in_questions_dataset,
v1:9.22.2,1,9.22.2,280,359520,question_id_not_in_questions_dataset,
v1:9.23.2,1,9.23.2,280,461026,question_id_not_in_questions_dataset,
v1:9.23.3,1,9.23.3,280,313271,question_id_not_in_questions_dataset,
v1:9.23.4,1,9.23.4,280,205213,question_id_not_in_questions_dataset,
v1:9.23.5,1,9.23.5,280,313539,question_id_not_in_questions_dataset,
v1:9.24.1,1,9.24.1,280,461030,question_id_not_in_questions_dataset,
v1:9.25.3,1,9.25.3,280,312017,question_id_not_in_questions_dataset,
v1:9.25.4,1,9.25.4,280,205207,question_id_not_in_questions_dataset,
v1:9.26.2,1,9.26.2,280,411759,question_id_not_in_questions_dataset,
v1:9.26.3,1,9.26.3,280,426486,question_id_not_in_questions_dataset,
v1:9.26.4,1,9.26.4,280,108093,question_id_not_in_questions_dataset,
v1:9.27.6,1,9.27.6,280,359838,question_id_not_in_questions_dataset,
v1:9.27.7,1,9.27.7,280,359873,question_id_not_in_questions_dataset,
v1:9.27.8,1,9.27.8,280,359771,question_id_not_in_questions_dataset,
v1:9.27.9,1,9.27.9,280,411851,question_id_not_in_questions_dataset,
v1:9.27.10,1,9.27.10,280,411832,question_id_not_in_questions_dataset,
v1:9.27.11,1,9.27.11,280,411868,question_id_not_in_questions_dataset,
v1:9.27.12,1,9.27.12,280,359528,question_id_not_in_questions_dataset,
v1:9.27.13,1,9.27.13,280,411789,question_id_not_in_questions_dataset,
v1:9.27.14,1,9.27.14,280,312019,question_id_not_in_questions_dataset,
v1:9.27.15,1,9.27.15,280,40228,question_id_not_in_questions_dataset,
v1:9.27.16,1,9.27.16,280,39518,question_id_not_in_questions_dataset,
v1:9.27.17,1,9.27.17,280,108309,question_id_not_in_questions_dataset,
v1:9.27.18,1,9.27.18,280,205182,question_id_not_in_questions_dataset,
v1:9.28.1,1,9.28.1,280,426514,question_id_not_in_questions_dataset,
v1:9.28.3,1,9.28.3,280,411890,question_id_not_in_questions_dataset,
v1:9.28.4,1,9.28.4,280,778,question_id_not_in_questions_dataset,
v1:9.28.7,1,9.28.7,280,359875,question_id_not_in_questions_dataset,
v1:9.28.8,1,9.28.8,280,426482,question_id_not_in_questions_dataset,
v1:9.28.9,1,9.28.9,280,426489,question_id_not_in_questions_dataset,
v1:9.28.10,1,9.28.10,280,461029,question_id_not_in_questions_dataset,
v1:9.28.11,1,9.28.11,280,461025,question_id_not_in_questions_dataset,
v1:9.28.12,1,9.28.12,280,411698,question_id_not_in_questions_dataset,
v1:9.28.13,1,9.28.13,280,426532,question_id_not_in_questions_dataset,
v1:9.28.14,1,9.28.14,280,411771,question_id_not_in_questions_dataset,
v1:9.28.15,1,9.28.15,280,39521,question_id_not_in_questions_dataset,
v1:9.28.16,1,9.28.16,280,110921,question_id_not_in_questions_dataset,
v1:9.28.17,1,9.28.17,280,108729,question_id_not_in_questions_dataset,
v1:9.28.18,1,9.28.18,280,108289,question_id_not_in_questions_dataset,
v1:9.28.19,1,9.28.19,280,313658,question_id_not_in_questions_dataset,
v1:9.28.21,1,9.28.21,280,205084,question_id_not_in_questions_dataset,
v1:9.28.22,1,9.28.22,280,205092,question_id_not_in_questions_dataset,
v1:9.28.23,1,9.28.23,280,205209,question_id_not_in_questions_dataset,
v1:9.28.24,1,9.28.24,280,313645,question_id_not_in_questions_dataset,
v1:9.28.25,1,9.28.25,280,313636,question_id_not_in_questions_dataset,
v1:9.28.26,1,9.28.26,280,313613,question_id_not_in_questions_dataset,
v1:9.28.27,1,9.28.27,280,313438,question_id_not_in_questions_dataset,
v1:9.28.28,1,9.28.28,280,313370,question_id_not_in_questions_dataset,
v1:9.28.29,1,9.28.29,280,313371,question_id_not_in_questions_dataset,
v1:9.29.1,1,9.29.1,280,422970,question_id_not_in_questions_dataset,
v1:9.30.1,1,9.30.1,280,411708,question_id_not_in_questions_dataset,
v1:9.30.2,1,9.30.2,280,411690,question_id_not_in_questions_dataset,
v1:9.30.3,1,9.30.3,280,411803,question_id_not_in_questions_dataset,
v1:9.30.4,1,9.30.4,280,411813,question_id_not_in_questions_dataset,
v1:9.31.1,1,9.31.1,280,411678,question_id_not_in_questions_dataset,
v1:9.32.4,1,9.32.4,280,426488,question_id_not_in_questions_dataset,
v1:9.32.5,1,9.32.5,280,312131,question_id_not_in_questions_dataset,
v1:9.32.6,1,9.32.6,280,40310,question_id_not_in_questions_dataset,
v1:9.32.7,1,9.32.7,280,110905,question_id_not_in_questions_dataset,
v1:9.32.8,1,9.32.8,280,313662,question_id_not_in_questions_dataset,
v1:9.32.9,1,9.32.9,280,313674,question_id_not_in_questions_dataset,
v1:9.32.10,1,9.32.10,280,313251,question_id_not_in_questions_dataset,
v1:9.32.11,1,9.32.11,280,313386,question_id_not_in_questions_dataset,
v1:9.32.12,1,9.32.12,280,205091,question_id_not_in_questions_dataset,
v1:9.33.1,1,9.33.1,280,411749,question_id_not_in_questions_dataset,
v1:9.34.5,1,9.34.5,280,411896,question_id_not_in_questions_dataset,
v1:9.34.6,1,9.34.6,280,411910,question_id_not_in_questions_dataset,
v1:9.34.7,1,9.34.7,280,426536,question_id_not_in_questions_dataset,
v1:9.34.8,1,9.34.8,280,40227,question_id_not_in_questions_dataset,
v1:9.34.9,1,9.34.9,280,39493,question_id_not_in_questions_dataset,
v1:9.34.10,1,9.34.10,280,39522,question_id_not_in_questions_dataset,
v1:9.34.11,1,9.34.11,280,313388,question_id_not_in_questions_dataset,
v1:9.34.12,1,9.34.12,280,313383,question_id_not_in_questions_dataset,
v1:9.34.13,1,9.34.13,280,313648,question_id_not_in_questions_dataset,
v1:9.34.14,1,9.34.14,280,313607,question_id_not_in_questions_dataset,
v1:9.36.3,1,9.36.3,280,312024,question_id_not_in_questions_dataset,
v1:9.36.4,1,9.36.4,280,40274,question_id_not_in_questions_dataset,
v1:9.37.1,1,9.37.1,280,461028,question_id_not_in_questions_dataset,
v1:9.38.1,1,9.38.1,280,411828,question_id_not_in_questions_dataset,
v1:9.38.2,1,9.38.2,280,40232,question_id_not_in_questions_dataset,
v1:9.39.4,1,9.39.4,280,312026,question_id_not_in_questions_dataset,
v1:9.39.5,1,9.39.5,280,40297,question_id_not_in_questions_dataset,
v1:9.39.6,1,9.39.6,280,41494,question_id_not_in_questions_dataset,
v1:9.39.7,1,9.39.7,280,41512,question_id_not_in_questions_dataset,
v1:9.39.8,1,9.39.8,280,41143,question_id_not_in_questions_dataset,
v1:9.39.9,1,9.39.9,280,313256,question_id_not_in_questions_dataset,
v1:9.39.10,1,9.39.10,280,205208,question_id_not_in_questions_dataset,
v1:9.40.1,1,9.40.1,280,426521,question_id_not_in_questions_dataset,
v1:9.40.4,1,9.40.4,280,359858,question_id_not_in_questions_dataset,
v1:9.40.5,1,9.40.5,280,312018,question_id_not_in_questions_dataset,
v1:9.40.6,1,9.40.6,280,110889,question_id_not_in_questions_dataset,
v1:9.40.7,1,9.40.7,280,313646,question_id_not_in_questions_dataset,
v1:9.41.1,1,9.41.1,280,411859,question_id_not_in_questions_dataset,
v1:9.41.2,1,9.41.2,280,359749,question_id_not_in_questions_dataset,
v1:9.41.3,1,9.41.3,280,411874,question_id_not_in_questions_dataset,
v1:9.41.5,1,9.41.5,280,108304,question_id_not_in_questions_dataset,
v1:9.41.6,1,9.41.6,280,313669,question_id_not_in_questions_dataset,
v1:9.42.1,1,9.42.1,280,773,question_id_not_in_questions_dataset,
v1:9.42.5,1,9.42.5,280,359810,question_id_not_in_questions_dataset,
v1:9.42.6,1,9.42.6,280,312029,question_id_not_in_questions_dataset,
v1:9.42.7,1,9.42.7,280,40268,question_id_not_in_questions_dataset,
v1:9.42.8,1,9.42.8,280,41516,question_id_not_in_questions_dataset,
v1:9.42.9,1,9.42.9,280,41466,question_id_not_in_questions_dataset,
v1:9.42.10,1,9.42.10,280,313660,question_id_not_in_questions_dataset,
v1:9.42.11,1,9.42.11,280,313630,question_id_not_in_questions_dataset,
v1:9.42.12,1,9.42.12,280,313566,question_id_not_in_questions_dataset,
v1:9.42.13,1,9.42.13,280,313598,question_id_not_in_questions_dataset,
v1:9.43.1,1,9.43.1,280,776,question_id_not_in_questions_dataset,
v1:9.43.4,1,9.43.4,280,426492,question_id_not_in_questions_dataset,
v1:9.43.5,1,9.43.5,280,359548,question_id_not_in_questions_dataset,
v1:9.43.6,1,9.43.6,280,312121,question_id_not_in_questions_dataset,
v1:9.43.7,1,9.43.7,280,40218,question_id_not_in_questions_dataset,
v1:9.43.8,1,9.43.8,280,40239,question_id_not_in_questions_dataset,
v1:9.43.9,1,9.43.9,280,40289,question_id_not_in_questions_dataset,
v1:9.43.10,1,9.43.10,280,40309,question_id_not_in_questions_dataset,
v1:9.43.12,1,9.43.12,280,40182,question_id_not_in_questions_dataset,
v1:9.43.13,1,9.43.13,280,110885,question_id_not_in_questions_dataset,
v1:9.43.14,1,9.43.14,280,108074,question_id_not_in_questions_dataset,
v1:9.43.15,1,9.43.15,280,313484,question_id_not_in_questions_dataset,
v1:9.43.16,1,9.43.16,280,313519,question_id_not_in_questions_dataset,
v1:9.43.17,1,9.43.17,280,205189,question_id_not_in_questions_dataset,
v1:9.43.18,1,9.43.18,280,313372,question_id_not_in_questions_dataset,
v1:9.43.19,1,9.43.19,280,313546,question_id_not_in_questions_dataset,
v1:9.43.20,1,9.43.20,280,313548,question_id_not_in_questions_dataset,
v1:9.43.21,1,9.43.21,280,313578,question_id_not_in_questions_dataset,
v1:9.44.3,1,9.44.3,280,426484,question_id_not_in_questions_dataset,
