uid,id_str,volume,chapter_no,subject_code,question_no,type,answer_mcq,answer_msq,answer_nat,tolerance_abs,source_pdf,source_page,source_line_index
v1:2.3.9,2.3.9,1,2,3,9,NAT,,,2.0,0.01,volume1,30,13
v1:2.3.10,2.3.10,1,2,3,10,MCQ,C,,,,volume1,30,13
v1:2.3.11,2.3.11,1,2,3,11,MCQ,B,,,,volume1,30,14
v1:2.4.6,2.4.6,1,2,4,6,MSQ,,C;D,,,volume1,30,15
v1:2.4.7,2.4.7,1,2,4,7,MCQ,C,,,,volume1,30,15
v1:2.4.10,2.4.10,1,2,4,10,MCQ,B,,,,volume1,30,16
v1:2.4.11,2.4.11,1,2,4,11,MCQ,D,,,,volume1,30,16
v1:2.4.13,2.4.13,1,2,4,13,MCQ,B,,,,volume1,30,16
v1:2.4.14,2.4.14,1,2,4,14,MCQ,C,,,,volume1,30,16
v1:2.4.15,2.4.15,1,2,4,15,MCQ,B,,,,volume1,30,17
v1:2.4.16,2.4.16,1,2,4,16,MCQ,A,,,,volume1,30,17
v1:2.4.17,2.4.17,1,2,4,17,MCQ,B,,,,volume1,30,17
v1:2.4.18,2.4.18,1,2,4,18,MCQ,C,,,,volume1,30,17
v1:2.4.19,2.4.19,1,2,4,19,MCQ,D,,,,volume1,30,17
v1:2.4.20,2.4.20,1,2,4,20,MCQ,A,,,,volume1,30,18
v1:2.4.21,2.4.21,1,2,4,21,NAT,,,506.0,0.01,volume1,30,18
v1:2.4.22,2.4.22,1,2,4,22,NAT,,,36.0,0.01,volume1,30,18
v1:2.4.23,2.4.23,1,2,4,23,MCQ,C,,,,volume1,30,18
v1:2.4.24,2.4.24,1,2,4,24,MCQ,B,,,,volume1,30,18
v1:2.4.25,2.4.25,1,2,4,25,MSQ,,C;D,,,volume1,30,19
v1:2.4.26,2.4.26,1,2,4,26,MCQ,C,,,,volume1,30,19
v1:2.4.27,2.4.27,1,2,4,27,MCQ,A,,,,volume1,30,19
v1:2.4.28,2.4.28,1,2,4,28,NAT,,,36.0,0.01,volume1,30,19
v1:2.4.29,2.4.29,1,2,4,29,MCQ,D,,,,volume1,30,19
v1:2.4.30,2.4.30,1,2,4,30,MCQ,A,,,,volume1,30,20
v1:2.4.31,2.4.31,1,2,4,31,NAT,,,16.0,0.01,volume1,30,20
v1:2.4.32,2.4.32,1,2,4,32,MCQ,D,,,,volume1,30,20
v1:2.4.33,2.4.33,1,2,4,33,MCQ,B,,,,volume1,30,20
v1:2.4.34,2.4.34,1,2,4,34,MCQ,D,,,,volume1,30,20
v1:2.4.35,2.4.35,1,2,4,35,MCQ,A,,,,volume1,30,21
v1:2.4.36,2.4.36,1,2,4,36,MCQ,B,,,,volume1,30,21
v1:2.4.37,2.4.37,1,2,4,37,MCQ,D,,,,volume1,30,21
v1:2.4.38,2.4.38,1,2,4,38,MCQ,C,,,,volume1,30,21
v1:2.4.39,2.4.39,1,2,4,39,MCQ,D,,,,volume1,30,21
v1:2.4.40,2.4.40,1,2,4,40,MCQ,C,,,,volume1,30,22
v1:2.5.1,2.5.1,1,2,5,1,MCQ,B,,,,volume1,30,22
v1:2.5.2,2.5.2,1,2,5,2,NAT,,,5.0,0.01,volume1,30,22
v1:2.5.3,2.5.3,1,2,5,3,MSQ,,A;B;C,,,volume1,30,22
v1:2.6.1,2.6.1,1,2,6,1,MCQ,A,,,,volume1,30,22
v1:2.7.3,2.7.3,1,2,7,3,MCQ,D,,,,volume1,30,23
v1:2.7.5,2.7.5,1,2,7,5,MCQ,C,,,,volume1,30,23
v1:2.7.6,2.7.6,1,2,7,6,MCQ,B,,,,volume1,30,24
v1:2.7.7,2.7.7,1,2,7,7,MCQ,A,,,,volume1,30,24
v1:2.7.8,2.7.8,1,2,7,8,MCQ,C,,,,volume1,30,24
v1:2.7.9,2.7.9,1,2,7,9,MCQ,B,,,,volume1,30,24
v1:2.7.10,2.7.10,1,2,7,10,MCQ,D,,,,volume1,30,24
v1:2.7.11,2.7.11,1,2,7,11,MCQ,A,,,,volume1,30,25
v1:2.7.12,2.7.12,1,2,7,12,NAT,,,24.0,0.01,volume1,30,25
v1:2.7.13,2.7.13,1,2,7,13,NAT,,,11.0,0.01,volume1,30,25
v1:3.1.3,3.1.3,1,3,1,3,MCQ,A,,,,volume1,47,13
v1:3.1.4,3.1.4,1,3,1,4,MCQ,D,,,,volume1,47,13
v1:3.1.5,3.1.5,1,3,1,5,MCQ,D,,,,volume1,47,13
v1:3.1.6,3.1.6,1,3,1,6,MCQ,D,,,,volume1,47,14
v1:3.1.7,3.1.7,1,3,1,7,MCQ,B,,,,volume1,47,14
v1:3.1.8,3.1.8,1,3,1,8,MCQ,D,,,,volume1,47,14
v1:3.1.9,3.1.9,1,3,1,9,MCQ,D,,,,volume1,47,14
v1:3.1.11,3.1.11,1,3,1,11,MCQ,D,,,,volume1,47,15
v1:3.1.12,3.1.12,1,3,1,12,MCQ,B,,,,volume1,47,15
v1:3.1.13,3.1.13,1,3,1,13,MCQ,B,,,,volume1,47,15
v1:3.1.14,3.1.14,1,3,1,14,MCQ,A,,,,volume1,47,15
v1:3.1.15,3.1.15,1,3,1,15,MCQ,C,,,,volume1,47,15
v1:3.1.16,3.1.16,1,3,1,16,MCQ,D,,,,volume1,47,16
v1:3.1.18,3.1.18,1,3,1,18,MCQ,D,,,,volume1,47,16
v1:3.1.19,3.1.19,1,3,1,19,MCQ,D,,,,volume1,47,16
v1:3.1.20,3.1.20,1,3,1,20,MCQ,C,,,,volume1,47,16
v1:3.1.21,3.1.21,1,3,1,21,MCQ,D,,,,volume1,47,17
v1:3.1.22,3.1.22,1,3,1,22,MCQ,B,,,,volume1,47,17
v1:3.1.23,3.1.23,1,3,1,23,MCQ,A,,,,volume1,47,17
v1:3.1.24,3.1.24,1,3,1,24,MCQ,C,,,,volume1,47,17
v1:3.1.25,3.1.25,1,3,1,25,MCQ,C,,,,volume1,47,17
v1:3.1.26,3.1.26,1,3,1,26,MSQ,,B;C,,,volume1,47,18
v1:3.1.27,3.1.27,1,3,1,27,MSQ,,B;D,,,volume1,47,18
v1:3.1.28,3.1.28,1,3,1,28,MCQ,A,,,,volume1,47,18
v1:3.1.29,3.1.29,1,3,1,29,MCQ,C,,,,volume1,47,18
v1:3.1.30,3.1.30,1,3,1,30,MCQ,B,,,,volume1,47,18
v1:3.1.31,3.1.31,1,3,1,31,MCQ,B,,,,volume1,47,19
v1:3.1.32,3.1.32,1,3,1,32,MCQ,A,,,,volume1,47,19
v1:3.1.33,3.1.33,1,3,1,33,MCQ,C,,,,volume1,47,19
v1:3.1.34,3.1.34,1,3,1,34,MCQ,D,,,,volume1,47,19
v1:3.2.1,3.2.1,1,3,2,1,MCQ,B,,,,volume1,47,19
v1:3.2.2,3.2.2,1,3,2,2,MCQ,C,,,,volume1,47,20
v1:3.2.3,3.2.3,1,3,2,3,MCQ,A,,,,volume1,47,20
v1:3.3.3,3.3.3,1,3,3,3,MSQ,,A;B;C,,,volume1,47,20
v1:3.3.4,3.3.4,1,3,3,4,MCQ,A,,,,volume1,47,21
v1:3.3.5,3.3.5,1,3,3,5,MCQ,B,,,,volume1,47,21
v1:3.3.6,3.3.6,1,3,3,6,MCQ,B,,,,volume1,47,21
v1:3.3.9,3.3.9,1,3,3,9,MCQ,B,,,,volume1,47,22
v1:3.3.12,3.3.12,1,3,3,12,MCQ,D,,,,volume1,47,22
v1:3.3.13,3.3.13,1,3,3,13,MCQ,D,,,,volume1,47,22
v1:3.3.14,3.3.14,1,3,3,14,MCQ,C,,,,volume1,47,23
v1:3.3.15,3.3.15,1,3,3,15,MCQ,A,,,,volume1,47,23
v1:3.3.17,3.3.17,1,3,3,17,MCQ,A,,,,volume1,47,23
v1:3.3.18,3.3.18,1,3,3,18,MCQ,A,,,,volume1,47,23
v1:3.3.19,3.3.19,1,3,3,19,MCQ,A,,,,volume1,47,24
v1:3.3.21,3.3.21,1,3,3,21,MCQ,B,,,,volume1,47,24
v1:3.3.22,3.3.22,1,3,3,22,MCQ,A,,,,volume1,47,24
v1:3.3.23,3.3.23,1,3,3,23,MCQ,B,,,,volume1,47,24
v1:3.3.24,3.3.24,1,3,3,24,MCQ,D,,,,volume1,47,25
v1:3.3.25,3.3.25,1,3,3,25,MCQ,B,,,,volume1,47,25
v1:3.3.26,3.3.26,1,3,3,26,MCQ,B,,,,volume1,47,25
v1:3.3.27,3.3.27,1,3,3,27,MCQ,B,,,,volume1,47,25
v1:3.3.28,3.3.28,1,3,3,28,MCQ,B,,,,volume1,47,25
v1:3.3.29,3.3.29,1,3,3,29,MCQ,D,,,,volume1,47,26
v1:3.3.30,3.3.30,1,3,3,30,MCQ,C,,,,volume1,47,26
v1:3.3.31,3.3.31,1,3,3,31,NAT,,,11.0,0.01,volume1,47,26
v1:3.3.32,3.3.32,1,3,3,32,NAT,,,4.0,0.01,volume1,47,26
v1:3.3.33,3.3.33,1,3,3,33,MCQ,D,,,,volume1,47,26
v1:3.3.34,3.3.34,1,3,3,34,MCQ,D,,,,volume1,47,27
v1:3.3.35,3.3.35,1,3,3,35,MCQ,A,,,,volume1,47,27
v1:3.3.36,3.3.36,1,3,3,36,MCQ,B,,,,volume1,47,27
v1:3.3.37,3.3.37,1,3,3,37,MSQ,,B;D,,,volume1,47,27
v1:3.3.38,3.3.38,1,3,3,38,MCQ,A,,,,volume1,47,27
v1:3.3.39,3.3.39,1,3,3,39,MSQ,,B;C;D,,,volume1,47,28
v1:3.3.40,3.3.40,1,3,3,40,MCQ,C,,,,volume1,47,28
v1:4.1.3,4.1.3,1,4,1,3,MCQ,C,,,,volume1,79,25
v1:4.1.4,4.1.4,1,4,1,4,MCQ,D,,,,volume1,79,25
v1:4.1.5,4.1.5,1,4,1,5,MCQ,A,,,,volume1,79,25
v1:4.1.6,4.1.6,1,4,1,6,MCQ,A,,,,volume1,79,26
v1:4.1.7,4.1.7,1,4,1,7,MCQ,B,,,,volume1,79,26
v1:4.1.8,4.1.8,1,4,1,8,MCQ,A,,,,volume1,79,26
v1:4.2.2,4.2.2,1,4,2,2,MCQ,D,,,,volume1,79,26
v1:4.3.4,4.3.4,1,4,3,4,MCQ,B,,,,volume1,79,27
v1:4.3.5,4.3.5,1,4,3,5,MCQ,A,,,,volume1,79,27
v1:4.3.6,4.3.6,1,4,3,6,MCQ,C,,,,volume1,79,28
v1:4.3.8,4.3.8,1,4,3,8,MCQ,C,,,,volume1,79,28
v1:4.3.9,4.3.9,1,4,3,9,MCQ,A,,,,volume1,79,28
v1:4.3.11,4.3.11,1,4,3,11,MCQ,A,,,,volume1,79,29
v1:4.3.12,4.3.12,1,4,3,12,MCQ,B,,,,volume1,79,29
v1:4.3.13,4.3.13,1,4,3,13,MCQ,B,,,,volume1,79,29
v1:4.3.14,4.3.14,1,4,3,14,MCQ,D,,,,volume1,79,29
v1:4.3.15,4.3.15,1,4,3,15,MCQ,B,,,,volume1,79,29
v1:4.3.16,4.3.16,1,4,3,16,MCQ,C,,,,volume1,79,30
v1:4.3.17,4.3.17,1,4,3,17,MCQ,C,,,,volume1,79,30
v1:4.3.18,4.3.18,1,4,3,18,NAT,,,16.0,0.01,volume1,79,30
v1:4.3.19,4.3.19,1,4,3,19,MCQ,D,,,,volume1,79,30
v1:4.3.20,4.3.20,1,4,3,20,MCQ,B,,,,volume1,79,30
v1:4.3.21,4.3.21,1,4,3,21,MCQ,A,,,,volume1,79,31
v1:4.3.22,4.3.22,1,4,3,22,NAT,,,36.0,0.01,volume1,79,31
v1:4.3.23,4.3.23,1,4,3,23,NAT,,,0.95,0.01,volume1,79,31
v1:4.3.24,4.3.24,1,4,3,24,NAT,,,2.0,0.01,volume1,79,31
v1:4.3.25,4.3.25,1,4,3,25,MSQ,,B;C,,,volume1,79,31
v1:4.3.26,4.3.26,1,4,3,26,MSQ,,B;C;D,,,volume1,79,32
v1:4.3.27,4.3.27,1,4,3,27,NAT,,,2.0,0.01,volume1,79,32
v1:4.3.28,4.3.28,1,4,3,28,MCQ,C,,,,volume1,79,32
v1:4.3.29,4.3.29,1,4,3,29,MCQ,D,,,,volume1,79,32
v1:4.4.10,4.4.10,1,4,4,10,MCQ,D,,,,volume1,79,34
v1:4.4.14,4.4.14,1,4,4,14,MCQ,B,,,,volume1,79,35
v1:4.4.15,4.4.15,1,4,4,15,MCQ,A,,,,volume1,79,35
v1:4.4.16,4.4.16,1,4,4,16,MCQ,D,,,,volume1,79,35
v1:4.4.17,4.4.17,1,4,4,17,MCQ,C,,,,volume1,79,36
v1:4.4.18,4.4.18,1,4,4,18,MCQ,A,,,,volume1,79,36
v1:4.4.19,4.4.19,1,4,4,19,MCQ,C,,,,volume1,79,36
v1:4.4.20,4.4.20,1,4,4,20,MCQ,A,,,,volume1,79,36
v1:4.4.21,4.4.21,1,4,4,21,MCQ,A,,,,volume1,79,36
v1:4.4.22,4.4.22,1,4,4,22,MCQ,C,,,,volume1,79,37
v1:4.4.23,4.4.23,1,4,4,23,MCQ,A,,,,volume1,79,37
v1:4.4.24,4.4.24,1,4,4,24,NAT,,,5.0,0.01,volume1,79,37
v1:4.4.25,4.4.25,1,4,4,25,NAT,,,4.0,0.01,volume1,79,37
v1:4.4.26,4.4.26,1,4,4,26,NAT,,,42.0,0.01,volume1,79,37
v1:4.4.27,4.4.27,1,4,4,27,MCQ,B,,,,volume1,79,38
v1:4.4.28,4.4.28,1,4,4,28,NAT,,,7.0,0.01,volume1,79,38
v1:4.4.29,4.4.29,1,4,4,29,MCQ,B,,,,volume1,79,38
v1:4.4.30,4.4.30,1,4,4,30,MSQ,,A;B;C,,,volume1,79,38
v1:4.4.31,4.4.31,1,4,4,31,MSQ,,A;D,,,volume1,79,38
v1:4.4.33,4.4.33,1,4,4,33,NAT,,,4.0,0.01,volume1,79,39
v1:4.5.1,4.5.1,1,4,5,1,MCQ,B,,,,volume1,79,39
v1:5.1.2,5.1.2,1,5,1,2,MCQ,B,,,,volume1,92,20
v1:5.1.3,5.1.3,1,5,1,3,MCQ,A,,,,volume1,92,20
v1:5.1.4,5.1.4,1,5,1,4,MCQ,A,,,,volume1,92,20
v1:5.1.5,5.1.5,1,5,1,5,MCQ,A,,,,volume1,92,20
v1:5.1.6,5.1.6,1,5,1,6,MCQ,C,,,,volume1,92,21
v1:5.1.7,5.1.7,1,5,1,7,NAT,,,19.0,0.01,volume1,92,21
v1:5.1.8,5.1.8,1,5,1,8,MCQ,A,,,,volume1,92,21
v1:5.1.9,5.1.9,1,5,1,9,MCQ,C,,,,volume1,92,21
v1:5.2.1,5.2.1,1,5,2,1,NAT,,,0.0,0.01,volume1,92,21
v1:5.2.2,5.2.2,1,5,2,2,MCQ,B,,,,volume1,92,22
v1:5.2.3,5.2.3,1,5,2,3,MCQ,A,,,,volume1,92,22
v1:5.3.1,5.3.1,1,5,3,1,MCQ,D,,,,volume1,92,22
v1:5.3.2,5.3.2,1,5,3,2,NAT,,,-2.0,0.01,volume1,92,22
v1:5.3.3,5.3.3,1,5,3,3,MCQ,C,,,,volume1,92,22
v1:5.3.4,5.3.4,1,5,3,4,NAT,,,9.0,0.01,volume1,92,23
v1:5.3.5,5.3.5,1,5,3,5,MCQ,C,,,,volume1,92,23
v1:5.3.6,5.3.6,1,5,3,6,MCQ,D,,,,volume1,92,23
v1:5.3.8,5.3.8,1,5,3,8,MSQ,,A;B;C,,,volume1,92,23
v1:5.3.9,5.3.9,1,5,3,9,MCQ,A,,,,volume1,92,24
v1:5.3.10,5.3.10,1,5,3,10,MSQ,,B;C;D,,,volume1,92,24
v1:5.4.3,5.4.3,1,5,4,3,MCQ,A,,,,volume1,92,24
v1:5.4.4,5.4.4,1,5,4,4,MCQ,D,,,,volume1,92,25
v1:5.4.5,5.4.5,1,5,4,5,MCQ,D,,,,volume1,92,25
v1:5.4.6,5.4.6,1,5,4,6,MCQ,A,,,,volume1,92,25
v1:5.4.7,5.4.7,1,5,4,7,NAT,,,4.0,0.01,volume1,92,25
v1:5.4.8,5.4.8,1,5,4,8,NAT,,,-1.0,0.01,volume1,92,25
v1:5.4.9,5.4.9,1,5,4,9,MCQ,A,,,,volume1,92,26
v1:5.4.11,5.4.11,1,5,4,11,MCQ,B,,,,volume1,92,26
v1:5.5.1,5.5.1,1,5,5,1,NAT,,,1.0,0.01,volume1,92,26
v1:5.5.2,5.5.2,1,5,5,2,NAT,,,1.0,0.01,volume1,92,26
v1:5.5.3,5.5.3,1,5,5,3,MCQ,A,,,,volume1,92,27
v1:5.5.4,5.5.4,1,5,5,4,MCQ,B,,,,volume1,92,27
v1:5.5.5,5.5.5,1,5,5,5,MCQ,C,,,,volume1,92,27
v1:5.5.6,5.5.6,1,5,5,6,MCQ,C,,,,volume1,92,27
v1:5.5.7,5.5.7,1,5,5,7,NAT,,,1.0,0.01,volume1,92,27
v1:5.5.8,5.5.8,1,5,5,8,MCQ,C,,,,volume1,92,28
v1:5.5.9,5.5.9,1,5,5,9,MCQ,C,,,,volume1,92,28
v1:5.5.11,5.5.11,1,5,5,11,NAT,,,-0.5,0.01,volume1,92,28
v1:5.5.13,5.5.13,1,5,5,13,NAT,,,0.0,0.01,volume1,92,29
v1:5.5.14,5.5.14,1,5,5,14,NAT,,,0.5,0.01,volume1,92,29
v1:5.5.15,5.5.15,1,5,5,15,MCQ,C,,,,volume1,92,29
v1:5.6.1,5.6.1,1,5,6,1,MCQ,A,,,,volume1,92,29
v1:5.6.2,5.6.2,1,5,6,2,MCQ,B,,,,volume1,92,29
v1:5.6.3,5.6.3,1,5,6,3,NAT,,,1.0,0.01,volume1,92,30
v1:5.6.4,5.6.4,1,5,6,4,MCQ,B,,,,volume1,92,30
v1:5.6.5,5.6.5,1,5,6,5,MCQ,B,,,,volume1,92,30
v1:5.6.6,5.6.6,1,5,6,6,MCQ,D,,,,volume1,92,30
v1:5.6.7,5.6.7,1,5,6,7,MCQ,C,,,,volume1,92,30
v1:5.6.8,5.6.8,1,5,6,8,MCQ,A,,,,volume1,92,31
v1:5.6.9,5.6.9,1,5,6,9,MSQ,,B;D,,,volume1,92,31
v1:5.6.10,5.6.10,1,5,6,10,MSQ,,C;D,,,volume1,92,31
v1:5.6.11,5.6.11,1,5,6,11,MSQ,,A;B,,,volume1,92,31
v1:5.6.12,5.6.12,1,5,6,12,MCQ,A,,,,volume1,92,31
v1:5.6.13,5.6.13,1,5,6,13,MCQ,B,,,,volume1,92,32
v1:5.7.1,5.7.1,1,5,7,1,MCQ,B,,,,volume1,92,32
v1:5.7.2,5.7.2,1,5,7,2,MCQ,C,,,,volume1,92,32
v1:7.2.1,7.2.1,1,7,2,1,MCQ,C,,,,volume1,136,15
v1:7.2.2,7.2.2,1,7,2,2,NAT,,,0.125,0.01,volume1,136,15
v1:7.3.1,7.3.1,1,7,3,1,MCQ,A,,,,volume1,136,15
v1:7.4.1,7.4.1,1,7,4,1,MCQ,C,,,,volume1,136,15
v1:7.4.2,7.4.2,1,7,4,2,MCQ,D,,,,volume1,136,16
v1:7.4.3,7.4.3,1,7,4,3,MCQ,A,,,,volume1,136,16
v1:7.4.4,7.4.4,1,7,4,4,MCQ,A,,,,volume1,136,16
v1:7.4.5,7.4.5,1,7,4,5,MCQ,A,,,,volume1,136,16
v1:7.4.6,7.4.6,1,7,4,6,MCQ,C,,,,volume1,136,16
v1:7.5.1,7.5.1,1,7,5,1,MCQ,D,,,,volume1,136,17
v1:7.5.3,7.5.3,1,7,5,3,MCQ,D,,,,volume1,136,17
v1:7.5.4,7.5.4,1,7,5,4,MCQ,A,,,,volume1,136,17
v1:7.5.5,7.5.5,1,7,5,5,MCQ,C,,,,volume1,136,17
v1:7.5.6,7.5.6,1,7,5,6,MCQ,B,,,,volume1,136,18
v1:7.9.7,7.9.7,1,7,9,7,MCQ,A,,,,volume1,136,18
v1:7.5.8,7.5.8,1,7,5,8,MCQ,B,,,,volume1,136,18
v1:7.5.9,7.5.9,1,7,5,9,NAT,,,0.55,0.01,volume1,136,18
v1:7.5.10,7.5.10,1,7,5,10,MCQ,A,,,,volume1,136,18
v1:7.5.13,7.5.13,1,7,5,13,NAT,,,0.375,0.01,volume1,136,19
v1:7.5.14,7.5.14,1,7,5,14,MCQ,C,,,,volume1,136,19
v1:7.6.1,7.6.1,1,7,6,1,NAT,,,0.5,0.01,volume1,136,19
v1:7.7.1,7.7.1,1,7,7,1,MCQ,C,,,,volume1,136,20
v1:7.7.2,7.7.2,1,7,7,2,MCQ,D,,,,volume1,136,20
v1:7.7.3,7.7.3,1,7,7,3,MCQ,D,,,,volume1,136,20
v1:7.7.10,7.7.10,1,7,7,10,MCQ,C,,,,volume1,136,21
v1:7.7.11,7.7.11,1,7,7,11,MCQ,A,,,,volume1,136,22
v1:7.7.13,7.7.13,1,7,7,13,MCQ,C,,,,volume1,136,22
v1:7.8.2,7.8.2,1,7,8,2,MCQ,A,,,,volume1,136,22
v1:7.8.3,7.8.3,1,7,8,3,MCQ,A,,,,volume1,136,23
v1:7.8.4,7.8.4,1,7,8,4,NAT,,,0.2,0.01,volume1,136,23
v1:7.8.5,7.8.5,1,7,8,5,MCQ,C,,,,volume1,136,23
v1:7.9.1,7.9.1,1,7,9,1,NAT,,,0.93,0.01,volume1,136,23
v1:7.9.2,7.9.2,1,7,9,2,MCQ,C,,,,volume1,136,23
v1:7.9.3,7.9.3,1,7,9,3,MCQ,D,,,,volume1,136,24
v1:7.9.4,7.9.4,1,7,9,4,MSQ,,C;D,,,volume1,136,24
v1:7.9.5,7.9.5,1,7,9,5,MSQ,,A;C,,,volume1,136,24
v1:7.9.6,7.9.6,1,7,9,6,MCQ,A,,,,volume1,136,24
v1:7.10.1,7.10.1,1,7,10,1,MCQ,A,,,,volume1,136,24
v1:7.10.2,7.10.2,1,7,10,2,NAT,,,0.0,0.01,volume1,136,25
v1:7.11.2,7.11.2,1,7,11,2,MCQ,C,,,,volume1,136,25
v1:7.11.3,7.11.3,1,7,11,3,NAT,,,54.0,0.01,volume1,136,25
v1:7.11.4,7.11.4,1,7,11,4,MCQ,B,,,,volume1,136,25
v1:7.12.1,7.12.1,1,7,12,1,MCQ,D,,,,volume1,136,26
v1:7.12.2,7.12.2,1,7,12,2,MCQ,C,,,,volume1,136,26
v1:7.12.3,7.12.3,1,7,12,3,MCQ,D,,,,volume1,136,26
v1:7.12.4,7.12.4,1,7,12,4,MCQ,C,,,,volume1,136,26
v1:7.12.5,7.12.5,1,7,12,5,MCQ,D,,,,volume1,136,26
v1:7.12.6,7.12.6,1,7,12,6,MCQ,B,,,,volume1,136,27
